order_id,shipping_limit_date,order_delivered_carrier_date,late_delivery,delay_days
00e7ee1b050b8499577073aeb2a297a1,2017-05-22 15:22:12,2017-05-23 10:47:57,True,0.0
00ea33f994bec0bbfda582074083ae12,2018-06-26 04:18:43,2018-06-26 14:50:00,True,0.0
00ea690fe8c5eba029a3884243a02352,2017-12-01 20:13:19,2017-12-09 00:13:02,True,7.0
00eef7fe9e315a85d1a61a50cccb2494,2018-02-15 13:28:18,2018-02-16 20:07:14,True,1.0
00f1bb0af030935db1745ee28367ea26,2018-08-08 23:31:34,2018-08-10 12:34:00,True,1.0
00fed9e582d5a3e38566872eec164ac6,2017-10-03 17:07:16,2017-10-04 08:33:14,True,0.0
00fed9e582d5a3e38566872eec164ac6,2017-10-03 17:07:16,2017-10-04 08:33:14,True,0.0
010061e3aa0c6ed5e393dda0652bbee8,2017-11-21 03:35:34,2017-11-21 19:18:40,True,0.0
01094e169d4b14edaf6954eeddb83633,2017-10-03 14:07:10,2017-10-04 13:08:11,True,0.0
010fadb12341d8253d920362fc8f7a16,2018-02-15 17:35:37,2018-02-21 21:13:10,True,6.0
011108c8a3d6eee6807f48a2e639439f,2017-05-02 17:42:48,2017-05-04 13:59:36,True,1.0
011375f941b3695c3c3ee58bfe0d3655,2017-09-28 18:26:33,2017-09-29 23:36:55,True,1.0
011b8dd4f8c36fd4fcf50643ce91d58a,2017-07-26 22:05:30,2017-08-01 13:17:35,True,5.0
0123098b96f3d4014545642be53d891c,2017-08-21 11:30:20,2017-08-22 10:46:58,True,0.0
0124e0c5bfae1979838a91e47df53f14,2018-02-14 16:31:36,2018-02-14 20:04:13,True,0.0
01428962dce3b65e5433eaeb16c0f48f,2017-07-20 02:24:20,2017-07-21 17:39:57,True,1.0
01428962dce3b65e5433eaeb16c0f48f,2017-07-20 02:24:20,2017-07-21 17:39:57,True,1.0
01633cfec0376ac9f2606e271ede5574,2017-03-01 12:10:14,2017-03-01 16:14:03,True,0.0
016dee69b3de35a39bfccee5309307c3,2017-01-18 16:35:59,2017-01-19 16:33:30,True,0.0
01825d0debce07b6502f4aff38a00e69,2018-07-13 11:08:06,2018-07-13 15:05:00,True,0.0
0182f6cbb4fb10918a76485fc92d7c49,2017-12-04 03:23:36,2017-12-04 20:58:57,True,0.0
018bb1508d9156b81990407b91fb35a8,2018-08-19 21:44:05,2018-08-21 15:50:00,True,1.0
018bb1508d9156b81990407b91fb35a8,2018-08-19 21:44:05,2018-08-21 15:50:00,True,1.0
01988bf5b8acbc4d6ced86e4d47fcb1a,2018-01-08 22:14:22,2018-01-10 18:09:44,True,1.0
01a1553cddb473cec004af5ce2192f1c,2018-08-01 03:23:45,2018-08-02 08:13:00,True,1.0
01a921eb5bf5df0c2990e62563ceca49,2017-12-01 21:13:35,2017-12-01 23:41:52,True,0.0
01a921eb5bf5df0c2990e62563ceca49,2017-12-01 21:13:35,2017-12-01 23:41:52,True,0.0
01b15a896c5842077af2aaf4a9f94309,2018-03-29 02:15:56,2018-03-29 17:34:50,True,0.0
